"FL_DATE","UNIQUE_CARRIER","TAIL_NUM","FL_NUM","ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017-01-01,"AA","N171AA","1805",14747,11298,"0825","1209",224.00,"1422","1845",263.00,0.00,"",201.00,1660.00,0.00,224.00,39.00,0.00,0.00,
2017-01-01,"AA","N293AA","1806",11057,10721,"1824","1841",17.00,"2027","2036",9.00,0.00,"",95.00,728.00,,,,,,
2017-01-01,"AA","N293AA","1806",14100,11057,"1529","1556",27.00,"1715","1735",20.00,0.00,"",79.00,449.00,0.00,0.00,0.00,0.00,20.00,
2017-01-01,"AA","N740AA","1808",11057,15304,"1301","1304",3.00,"1442","1439",-3.00,0.00,"",75.00,507.00,,,,,,
2017-01-01,"AA","N740AA","1809",11057,13495,"1804","1813",9.00,"1912","1921",9.00,0.00,"",105.00,651.00,,,,,,
2017-01-01,"AA","N664AA","1810",11057,15304,"1445","1441",-4.00,"1628","1616",-12.00,0.00,"",73.00,507.00,,,,,,
2017-01-01,"AA","N665AA","1810",14100,11057,"1145","",,"1335","",,1.00,"A",,449.00,,,,,,
2017-01-01,"AA","N557AA","1811",11292,11057,"1211","1216",5.00,"1718","1737",19.00,0.00,"",165.00,1337.00,5.00,0.00,14.00,0.00,0.00,
2017-01-01,"AA","N556AA","1812",11057,10721,"2215","2222",7.00,"0016","0017",1.00,0.00,"",94.00,728.00,,,,,,
2017-01-01,"AA","N556AA","1812",11292,11057,"1600","1604",4.00,"2108","2114",6.00,0.00,"",164.00,1337.00,,,,,,
2017-01-01,"AA","N556AA","1812",14107,11292,"1315","1312",-3.00,"1504","1504",0.00,0.00,"",86.00,602.00,,,,,,
2017-01-01,"AA","N922AA","1812",14679,14107,"0955","0945",-10.00,"1209","1203",-6.00,0.00,"",53.00,304.00,,,,,,
2017-01-01,"AA","N836AA","1814",11057,10397,"1150","1147",-3.00,"1315","1321",6.00,0.00,"",47.00,226.00,,,,,,
2017-01-01,"AA","N836AA","1814",11433,11057,"0830","0826",-4.00,"1032","1003",-29.00,0.00,"",79.00,500.00,,,,,,
2017-01-01,"AA","N710AA","1815",11057,11433,"1645","1639",-6.00,"1840","1839",-1.00,0.00,"",75.00,500.00,,,,,,
2017-01-01,"AA","N710AA","1815",15016,11057,"1254","1252",-2.00,"1540","1527",-13.00,0.00,"",81.00,575.00,,,,,,
2017-01-01,"AA","N952AA","1819",12953,10397,"1700","1659",-1.00,"1938","1943",5.00,0.00,"",130.00,762.00,,,,,,
2017-01-01,"AA","N920AA","1820",11057,14635,"2209","2217",8.00,"2358","2359",1.00,0.00,"",82.00,600.00,,,,,,
2017-01-01,"AA","N920AA","1820",12889,11057,"1345","1341",-4.00,"2056","2056",0.00,0.00,"",222.00,1916.00,,,,,,
2017-01-01,"AA","N833AA","1821",14122,14107,"0700","0656",-4.00,"1004","1024",20.00,0.00,"",255.00,1814.00,0.00,0.00,20.00,0.00,0.00,
2017-01-01,"AA","N554AA","1822",13930,14100,"0550","0544",-6.00,"0847","0829",-18.00,0.00,"",91.00,678.00,,,,,,
2017-01-01,"AA","N716AA","1823",11057,14321,"1129","1129",0.00,"1337","1340",3.00,0.00,"",103.00,813.00,,,,,,
2017-01-01,"AA","N716AA","1823",13198,11057,"0709","0708",-1.00,"1030","1036",6.00,0.00,"",103.00,808.00,,,,,,
2017-01-01,"AA","N834AA","1825",11057,13244,"2020","2018",-2.00,"2114","2058",-16.00,0.00,"",83.00,511.00,,,,,,
2017-01-01,"AA","N834AA","1825",14524,11057,"1806","1759",-7.00,"1930","1933",3.00,0.00,"",49.00,257.00,,,,,,
2017-01-01,"AA","N672AA","1826",11278,14107,"1035","1103",28.00,"1352","1405",13.00,0.00,"",285.00,1979.00,,,,,,
2017-01-01,"AA","N672AA","1826",11298,11278,"0600","0600",0.00,"0941","0938",-3.00,0.00,"",127.00,1192.00,,,,,,
2017-01-01,"AA","N672AA","1826",14107,12889,"1505","1629",84.00,"1515","1633",78.00,0.00,"",43.00,255.00,78.00,0.00,0.00,0.00,0.00,
2017-01-01,"AA","N827AA","1827",11057,14683,"1445","1443",-2.00,"1656","1642",-14.00,0.00,"",162.00,1095.00,,,,,,
2017-01-01,"AA","N756AA","1828",13303,11057,"2135","2140",5.00,"2344","2338",-6.00,0.00,"",94.00,650.00,,,,,,
2017-01-01,"AA","N184AA","1831",11057,13303,"1145","1144",-1.00,"1359","1421",22.00,0.00,"",93.00,650.00,0.00,0.00,22.00,0.00,0.00,
2017-01-01,"AA","N184AA","1831",11298,11057,"0705","0701",-4.00,"1032","1017",-15.00,0.00,"",110.00,936.00,,,,,,
2017-01-01,"AA","N823AA","1832",11057,14683,"1155","1152",-3.00,"1412","1411",-1.00,0.00,"",167.00,1095.00,,,,,,
2017-01-01,"AA","N824AA","1832",14321,11057,"0805","0802",-3.00,"1051","1053",2.00,0.00,"",131.00,813.00,,,,,,
2017-01-01,"AA","N944AA","1833",14100,10397,"1605","1603",-2.00,"1831","1820",-11.00,0.00,"",112.00,666.00,,,,,,
2017-01-01,"AA","N701AA","1834",14122,11057,"1905","2000",55.00,"2040","2140",60.00,0.00,"",68.00,366.00,0.00,0.00,5.00,0.00,55.00,
2017-01-01,"AA","N170AA","1836",14843,11057,"0730","0725",-5.00,"1016","1037",21.00,0.00,"",212.00,1475.00,0.00,0.00,21.00,0.00,0.00,
2017-01-01,"AA","N206AA","1837",14100,15024,"0740","0916",96.00,"1231","1358",87.00,0.00,"",184.00,1605.00,87.00,0.00,0.00,0.00,0.00,
2017-01-01,"AA","N680AA","1839",10397,11057,"0700","0655",-5.00,"0817","0825",8.00,0.00,"",49.00,226.00,,,,,,
2017-01-01,"AA","N680AA","1839",11057,14100,"0909","0907",-2.00,"1043","1023",-20.00,0.00,"",61.00,449.00,,,,,,
2017-01-01,"AA","N701AA","1840",11057,14122,"1815","1809",-6.00,"1941","1923",-18.00,0.00,"",56.00,366.00,,,,,,
2017-01-01,"AA","N701AA","1840",12323,11057,"1606","1555",-11.00,"1718","1711",-7.00,0.00,"",49.00,185.00,,,,,,
2017-01-01,"AA","N757AA","1842",11057,14122,"1310","1304",-6.00,"1436","1424",-12.00,0.00,"",59.00,366.00,,,,,,
2017-01-01,"AA","N927AA","1842",13303,11057,"0959","1010",11.00,"1211","1234",23.00,0.00,"",107.00,650.00,11.00,0.00,12.00,0.00,0.00,
2017-01-01,"AA","N725AA","1843",11057,10257,"1425","1421",-4.00,"1617","1600",-17.00,0.00,"",85.00,646.00,,,,,,
2017-01-01,"AA","N725AA","1843",11278,11057,"1200","1153",-7.00,"1333","1320",-13.00,0.00,"",62.00,331.00,,,,,,
2017-01-01,"AA","N161AA","1844",11057,13930,"1125","1127",2.00,"1233","1221",-12.00,0.00,"",91.00,599.00,,,,,,
2017-01-01,"AA","N542AA","1846",14771,11057,"0015","0007",-8.00,"0805","0752",-13.00,0.00,"",265.00,2296.00,,,,,,
2017-01-01,"AA","N723AA","1848",11057,14492,"1815","1814",-1.00,"1909","1914",5.00,0.00,"",29.00,130.00,,,,,,
2017-01-01,"AA","N288AA","1850",13204,14100,"1025","1025",0.00,"1241","1239",-2.00,0.00,"",116.00,861.00,,,,,,
2017-01-01,"AA","N537AA","1851",11057,13930,"1955","2003",8.00,"2100","2053",-7.00,0.00,"",84.00,599.00,,,,,,
2017-01-01,"AA","N537AA","1851",14679,11057,"1120","1119",-1.00,"1849","1903",14.00,0.00,"",241.00,2077.00,,,,,,
